thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,answer,expected_answer,is_correct,setting,words_file,subID,sessionID,runID,uppercase_total,uppercase_correct,total_trials,missing_responses,
,,1,0.0,hostile,SELF,3,SELF,0.02350000001024455,None,None,None,None,None,None,SCANNER,wordlist_run1.csv,0,Baseline,1,,,,,
,,2,3.2,resentful,UPPERCASE,3,LOWER,3.2159267079550773,4.422068749903701,1.206142041948624,r,no,no,1,SCANNER,wordlist_run1.csv,0,Baseline,1,,,,,
,,3,5.2,spirited,OBAMA,1,OBAMA,5.2024919159011915,6.336460249964148,1.1339683340629563,g,yes,None,None,SCANNER,wordlist_run1.csv,0,Baseline,1,,,,,
,,4,10.0,proud,SELF,2,SELF,10.029279415961355,10.606774249929003,0.5774948339676484,r,no,None,None,SCANNER,wordlist_run1.csv,0,Baseline,1,,,,,
,,5,16.2,popular,SELF,1,SELF,16.243427165900357,16.76979599997867,0.5263688340783119,g,yes,None,None,SCANNER,wordlist_run1.csv,0,Baseline,1,,,,,
,,6,22.1,deceitful,UPPERCASE,3,UPPER,22.14236804097891,23.170261874911375,1.0278938339324668,g,yes,yes,1,SCANNER,wordlist_run1.csv,0,Baseline,1,,,,,
,,7,26.9,snobbish,UPPERCASE,3,UPPER,26.913665415951982,28.000744582968764,1.0870791670167819,g,yes,yes,1,SCANNER,wordlist_run1.csv,0,Baseline,1,,,,,
,,8,31.3,inventive,SELF,1,SELF,31.316044249921106,31.95568520796951,0.6396409580484033,r,no,None,None,SCANNER,wordlist_run1.csv,0,Baseline,1,,,,,
,,9,34.3,mathematical,SELF,2,SELF,34.31285287498031,35.184373416006565,0.871520541026257,r,no,None,None,SCANNER,wordlist_run1.csv,0,Baseline,1,,,,,
,,10,36.3,middleclass,OBAMA,2,OBAMA,36.31286549998913,36.90182224998716,0.588956749998033,r,no,None,None,SCANNER,wordlist_run1.csv,0,Baseline,1,,,,,
