thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,answer,expected_answer,is_correct,setting,words_file,subID,sessionID,runID,uppercase_total,uppercase_correct,
,,1,0.0,decent,UPPERCASE,1,LOWER,0.049165042117238045,1.3461860846728086,1.2970210425555706,g,yes,no,0,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
,,2,4.8,tidy,UPPERCASE,1,LOWER,4.819347917102277,6.024383959360421,1.2050360422581434,r,no,no,1,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
,,3,9.6,self-centered,SELF,3,SELF,9.619722249917686,10.62298433482647,1.0032620849087834,g,yes,None,None,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
,,4,11.7,neurotic,SELF,3,SELF,11.704803417436779,12.695799292065203,0.9909958746284246,r,no,None,None,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
,,5,14.0,studious,OBAMA,1,OBAMA,14.019167417660356,15.092652874998748,1.0734854573383927,g,yes,None,None,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
,,6,16.8,troubled,UPPERCASE,2,LOWER,16.81940995901823,17.72376933414489,0.9043593751266599,r,no,no,1,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
,,7,22.6,depressed,OBAMA,3,OBAMA,22.62012058403343,23.877690667286515,1.2575700832530856,r,no,None,None,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
,,8,26.0,brilliant,SELF,1,SELF,26.020841834135354,26.82044875063002,0.7996069164946675,g,yes,None,None,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
,,9,28.1,patient,UPPERCASE,1,LOWER,28.1192742921412,28.988290042616427,0.8690157504752278,r,no,no,1,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
,,10,33.9,self-conscious,UPPERCASE,2,LOWER,33.91879504267126,34.70916225016117,0.7903672074899077,r,no,no,1,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
,,11,40.6,possessive,UPPERCASE,3,UPPER,40.62043608445674,41.63916779216379,1.0187317077070475,g,yes,yes,1,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
,,12,42.7,sloppy,UPPERCASE,3,UPPER,42.7048970842734,43.64937608409673,0.9444789998233318,g,yes,yes,1,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
,,13,45.1,submissive,SELF,2,SELF,45.120525042526424,45.88299687579274,0.7624718332663178,r,no,None,None,SCANNER,wordlist_run2.csv,0,Baseline,2,,,
