thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,answer,setting,words_file,subID,sessionID,runID,
,,1,0.0,careless,SELF,3,SELF,0.009968666010536253,0.903696833003778,0.8937281669932418,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,2,2.8,good,UPPERCASE,1,LOWER,2.812694082997041,4.379656457997044,1.5669623750000028,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,3,6.5,direct,UPPERCASE,2,UPPER,6.513553500000853,7.399747791001573,0.8861942910007201,j,yes,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,4,10.2,loud-mouthed,OBAMA,3,OBAMA,10.214849791009328,10.851778916010517,0.6369291250011884,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,5,15.5,clean,SELF,1,SELF,15.515290708004613,16.18833716600784,0.6730464580032276,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,6,17.9,blunt,UPPERCASE,2,LOWER,17.911426874998142,18.53546358300082,0.6240367080026772,j,yes,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,7,20.6,refined,UPPERCASE,1,UPPER,20.61307929099712,21.048297540997737,0.43521825000061654,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,8,22.7,angry,UPPERCASE,3,UPPER,22.71279995799705,23.201969250003458,0.4891692920064088,j,yes,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,9,26.8,noisy,UPPERCASE,3,UPPER,26.817416833000607,27.333053291004035,0.5156364580034278,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,10,30.4,subtle,SELF,2,SELF,30.417180999997072,30.918703166011255,0.5015221660141833,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,11,34.0,spiteful,OBAMA,3,OBAMA,34.01408983299916,34.41299862500455,0.3989087920053862,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,12,40.1,candid,UPPERCASE,2,LOWER,40.11608745800913,40.672837958001764,0.5567504999926314,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,13,44.6,nice,SELF,1,SELF,44.61747387499781,45.0858001250017,0.4683262500038836,j,yes,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,14,48.0,tactful,SELF,1,SELF,48.01897879100579,48.29035408300115,0.27137529199535493,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,15,50.3,cheerful,OBAMA,1,OBAMA,50.31386216600367,50.679483708008775,0.3656215420051012,j,yes,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,16,55.1,smug,UPPERCASE,3,LOWER,55.113471666001715,55.551558040999225,0.4380863749975106,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,17,58.6,loyal,UPPERCASE,1,LOWER,58.61532537500898,59.16625058300269,0.5509252079937141,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,18,65.2,lucky,SELF,2,SELF,65.21704858299927,65.68345029100601,0.4664017080067424,j,yes,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,19,67.6,wise,OBAMA,1,OBAMA,67.61495179100893,68.03635562500858,0.42140383399964776,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,20,70.3,cruel,SELF,3,SELF,70.31232375001127,70.6592089580081,0.3468852079968201,j,yes,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,21,73.8,gentle,OBAMA,1,OBAMA,73.81543541600695,74.07986054100911,0.26442512500216253,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,22,77.0,prideful,OBAMA,2,OBAMA,77.01467683300143,77.3358226660057,0.321145833004266,j,yes,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,23,80.4,tough,OBAMA,2,OBAMA,80.4143181660038,80.77403104100085,0.35971287499705795,j,yes,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,24,86.6,foolish,SELF,3,SELF,86.61557662500127,87.05396554101026,0.4383889160089893,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,25,91.0,weak,OBAMA,3,OBAMA,91.01544812500651,91.34210704101133,0.326658916004817,j,yes,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,26,96.8,stern,SELF,2,SELF,96.8148052500037,97.25956437501009,0.44475912500638515,k,no,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,27,99.8,quick,OBAMA,2,OBAMA,99.81401795800775,100.23624120801105,0.42222325000329874,j,yes,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
