thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,setting,words_file,subID,sessionID,runID,
,,1,0.0,cruel,SELF,3,SELF,0.016802625003037974,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,2,2.8,smug,UPPERCASE,3,UPPER,2.803736125002615,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,3,6.5,loyal,UPPERCASE,1,LOWER,6.5106196670094505,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,4,10.2,spiteful,OBAMA,3,OBAMA,10.215051584003959,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,5,15.5,careless,SELF,3,SELF,15.51766216699616,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,6,17.9,angry,UPPERCASE,3,LOWER,17.904699792008614,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,7,20.6,good,UPPERCASE,1,LOWER,20.604035625001416,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,8,22.7,noisy,UPPERCASE,3,UPPER,22.702633167005843,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,9,26.8,candid,UPPERCASE,2,LOWER,26.814737417007564,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,10,30.4,clean,SELF,1,SELF,30.412866166996537,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,11,34.0,quick,OBAMA,2,OBAMA,34.01186679198872,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,12,40.1,refined,UPPERCASE,1,UPPER,40.11622070899466,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,13,44.6,lucky,SELF,2,SELF,44.613286292005796,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,14,48.0,nice,SELF,1,SELF,48.01134495899896,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,15,50.3,tough,OBAMA,2,OBAMA,50.30452712500119,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,16,55.1,direct,UPPERCASE,2,UPPER,55.11508933399455,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,17,58.6,blunt,UPPERCASE,2,LOWER,58.61177079199115,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,18,65.2,stern,SELF,2,SELF,65.21740399999544,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,19,67.6,prideful,OBAMA,2,OBAMA,67.60389062500326,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,20,70.3,subtle,SELF,2,SELF,70.30463199998485,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,21,73.8,wise,OBAMA,1,OBAMA,73.8112994589901,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,22,77.0,loud-mouthed,OBAMA,3,OBAMA,77.00401354199857,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,23,80.4,cheerful,OBAMA,1,OBAMA,80.41168074999587,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,24,86.6,foolish,SELF,3,SELF,86.61767666699598,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,25,91.0,gentle,OBAMA,1,OBAMA,91.01641199999722,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,26,96.8,tactful,SELF,1,SELF,96.81422604198451,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
,,27,99.8,weak,OBAMA,3,OBAMA,99.80397695899592,None,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,
