thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,answer,expected_answer,is_correct,setting,words_file,subID,sessionID,runID,uppercase_total,uppercase_correct,total_trials,missing_responses,
,,1,0.0,domineering,SELF,1,SELF,0.023326708935201168,1.315644916961901,1.2923182080266997,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,2,2.8,enterprising,UPPERCASE,1,UPPER,2.811735124909319,4.020961333997548,1.2092262090882286,j,yes,yes,1,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,3,6.5,nonchalant,UPPERCASE,1,UPPER,6.518163500004448,7.790266124997288,1.27210262499284,j,yes,yes,1,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,4,10.2,down-hearted,OBAMA,1,OBAMA,10.216092834016308,11.158886416931637,0.9427935829153284,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,5,15.5,listless,SELF,2,SELF,15.520762500003912,16.215561333927326,0.6947988339234143,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,6,17.9,soft-hearted,UPPERCASE,2,LOWER,17.91244237497449,18.736517624929547,0.8240752499550581,k,no,no,1,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,7,20.6,clean-cut,UPPERCASE,3,LOWER,20.618104166933335,21.447653666953556,0.8295495000202209,k,no,no,1,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,8,22.7,shrewd,UPPERCASE,2,LOWER,22.71261670894455,23.485439458978362,0.7728227500338107,k,no,no,1,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,9,26.8,inoffensive,UPPERCASE,3,UPPER,26.817034999956377,28.439351749955676,1.6223167499992996,j,yes,yes,1,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,10,30.4,uncongenial,SELF,3,SELF,30.413150666980073,31.141500583966263,0.7283499169861898,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,11,34.0,spendthrift,OBAMA,3,OBAMA,34.01983245892916,34.800594416912645,0.7807619579834864,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,12,40.1,untiring,UPPERCASE,3,UPPER,40.11500912497286,41.02081100002397,0.905801875051111,j,yes,yes,1,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,13,44.6,maladjusted,SELF,3,SELF,44.61491391691379,45.35739045892842,0.7424765420146286,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,14,48.0,unsporting,SELF,2,SELF,48.01939162495546,49.137135208933614,1.1177435839781538,j,yes,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,15,50.3,resigned,OBAMA,2,OBAMA,50.31141708395444,51.180480083916336,0.8690629999618977,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,16,55.1,prudent,UPPERCASE,1,LOWER,55.115373709006235,56.252465249970555,1.1370915409643203,k,no,no,1,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,17,58.6,congenial,UPPERCASE,2,LOWER,58.612633624929,59.62686933402438,1.0142357090953737,k,no,no,1,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,18,65.2,insolent,SELF,1,SELF,65.2157513339771,65.99048429192044,0.7747329579433426,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,19,67.6,unindustrious,OBAMA,3,OBAMA,67.61372633394785,68.50157750002109,0.8878511660732329,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,20,70.3,unobliging,SELF,3,SELF,70.31447970902082,71.40137883392163,1.0868991249008104,j,yes,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,21,73.8,irreligious,OBAMA,1,OBAMA,73.81171929195989,74.39615174999926,0.5844324580393732,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,22,77.0,bashful,OBAMA,3,OBAMA,77.01406933402177,77.63766658399254,0.6235972499707714,j,yes,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,23,80.4,pompous,OBAMA,1,OBAMA,80.4133200419601,81.04979033395648,0.6364702919963747,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,24,86.6,unruly,SELF,1,SELF,86.616194000002,87.2529446670087,0.6367506670067087,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,25,91.0,unenterprising,OBAMA,2,OBAMA,91.01738937501796,91.70930895896163,0.6919195839436725,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,26,96.8,underhanded,SELF,2,SELF,96.8192793339258,97.37449075002223,0.5552114160964265,k,no,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
,,27,99.8,obstinate,OBAMA,2,OBAMA,99.82014337496366,100.37455783400219,0.5544144590385258,j,yes,None,None,PRACTICE,wordlist_runprac.csv,0,Baseline,prac,,,,,
