thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,answer,setting,words_file,subID,sessionID,runID,
,,1,0.0,self-conscious,UPPERCASE,2,UPPER,0.02800550000392832,1.170101791009074,1.1420962910051458,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,2,4.8,self-satisfied,UPPERCASE,2,UPPER,4.813280458009103,5.664224333013408,0.8509438750043046,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,3,9.6,friendly,SELF,1,SELF,9.61587354101357,10.708388500002911,1.0925149589893408,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,4,11.7,lifeless,SELF,3,SELF,11.703960583021399,13.157652624999173,1.4536920419777744,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,5,14.0,thoughtless,OBAMA,3,OBAMA,14.003842166013783,15.55273558301269,1.548893416998908,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,6,16.8,self-concerned,UPPERCASE,2,UPPER,16.80418620799901,17.926410333020613,1.122224125021603,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,7,22.6,ambitious,OBAMA,1,OBAMA,22.61677570801112,23.912243083002977,1.2954673749918584,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,8,26.0,consistent,SELF,1,SELF,26.01294533300097,26.776799083017977,0.763853750017006,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,9,28.1,reckless,UPPERCASE,3,UPPER,28.112470375024714,29.003599500021664,0.8911291249969508,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,10,33.9,crafty,UPPERCASE,2,UPPER,33.919377833022736,34.864430833025835,0.9450530000030994,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,11,40.6,self-sufficient,UPPERCASE,1,LOWER,40.617858208017424,41.52323229101603,0.9053740829986054,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,12,42.7,excited,UPPERCASE,2,LOWER,42.71186191600282,43.56638370800647,0.8545217920036521,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,13,45.1,neurotic,SELF,3,SELF,45.11168554102187,46.63465845800238,1.5229729169805069,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,14,48.8,brilliant,SELF,1,SELF,48.81250529101817,50.331138250010554,1.5186329589923844,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,15,50.8,fault-finding,OBAMA,3,OBAMA,50.8045581660117,52.11505137500353,1.3104932089918293,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,16,57.0,modest,UPPERCASE,1,UPPER,57.01839937502518,57.983152375003556,0.9647529999783728,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,17,60.4,dominating,SELF,3,SELF,60.4176483330084,61.65303737501381,1.2353890420054086,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,18,65.3,anxious,OBAMA,2,OBAMA,65.3135394580022,66.9530752080027,1.6395357500005048,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,19,71.6,daydreamer,SELF,2,SELF,71.61308408301556,72.58489029100747,0.9718062079919036,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,20,77.2,self-disciplined,OBAMA,1,OBAMA,77.21633049999946,78.71966520801652,1.5033347080170643,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,21,82.4,choosy,SELF,2,SELF,82.41431229101727,84.10734950000187,1.693037208984606,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,22,87.6,vigorous,SELF,1,SELF,87.61588191601913,88.69144025002606,1.075558334006928,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,23,89.8,finicky,UPPERCASE,3,UPPER,89.80423016601708,90.77518404100556,0.9709538749884814,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,24,91.8,understanding,SELF,1,SELF,91.80384479102213,93.20215254102368,1.3983077500015497,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,25,98.0,sincere,OBAMA,1,OBAMA,98.01725662502577,99.50606970800436,1.488813082978595,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,26,104.5,nonconforming,SELF,3,SELF,104.51613958302187,105.9061034580227,1.3899638750008307,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,27,106.6,greedy,SELF,3,SELF,106.60239229100989,107.94019216601737,1.3377998750074767,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,28,108.6,imaginative,SELF,2,SELF,108.60380583300139,109.78955870799837,1.1857528749969788,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,29,114.5,tidy,UPPERCASE,1,UPPER,114.51841795802466,115.4050067080243,0.8865887499996461,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,30,117.9,precise,OBAMA,1,OBAMA,117.91434341602144,119.33838287502294,1.4240394590015057,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,31,119.9,studious,OBAMA,1,OBAMA,119.90438241601805,121.15551362500992,1.2511312089918647,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,32,121.9,energetic,OBAMA,2,OBAMA,121.90466670802562,123.51874629102531,1.6140795829996932,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,33,128.0,inattentive,SELF,3,SELF,128.01270733302226,129.42952654100372,1.4168192079814617,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,34,133.0,pleasant,SELF,1,SELF,133.01685091599938,134.51136879101978,1.4945178750203922,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,35,135.8,dull,SELF,3,SELF,135.8111507910071,136.94221675000153,1.1310659589944407,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,36,140.2,cynical,UPPERCASE,3,LOWER,140.21320375002688,141.325602833007,1.1123990829801187,g,yes,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
,,37,142.3,skilled,OBAMA,1,OBAMA,142.3038843329996,143.60103616601555,1.2971518330159597,r,no,SCANNER,wordlist_run2.csv,0,Repeat_Baseline,2,
