thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,setting,words_file,subID,sessionID,runID,
,,1,0.0,nice,SELF,1,SELF,0.01079795800615102,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,2,2.8,noisy,UPPERCASE,3,LOWER,2.8046597909997217,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,3,6.5,smug,UPPERCASE,3,LOWER,6.514300125010777,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,4,10.2,gentle,OBAMA,1,OBAMA,10.213299249997362,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,5,15.5,cruel,SELF,3,SELF,15.515395958005683,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,6,17.9,angry,UPPERCASE,3,UPPER,17.906311750004534,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,7,20.6,loyal,UPPERCASE,1,LOWER,20.60451087501133,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,8,22.7,refined,UPPERCASE,1,UPPER,22.702684999996563,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,9,26.8,direct,UPPERCASE,2,UPPER,26.814302540995413,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,10,30.4,stern,SELF,2,SELF,30.41305554099381,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,11,34.0,quick,OBAMA,2,OBAMA,34.01030525000533,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,12,40.1,blunt,UPPERCASE,2,LOWER,40.113537541008554,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,13,44.6,careless,SELF,3,SELF,44.61325529101305,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,14,48.0,tactful,SELF,1,SELF,48.010405625012936,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,15,50.3,tough,OBAMA,2,OBAMA,50.304545166000025,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,16,55.1,good,UPPERCASE,1,LOWER,55.11089304101188,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,17,58.6,candid,UPPERCASE,2,UPPER,58.611312708002515,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,18,65.2,subtle,SELF,2,SELF,65.21599491601228,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,19,67.6,cheerful,OBAMA,1,OBAMA,67.6036590829899,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,20,70.3,lucky,SELF,2,SELF,70.30401595801231,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,21,73.8,loud-mouthed,OBAMA,3,OBAMA,73.80966649999027,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,22,77.0,spiteful,OBAMA,3,OBAMA,77.00444062499446,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,23,80.4,weak,OBAMA,3,OBAMA,80.41152933301055,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,24,86.6,foolish,SELF,3,SELF,86.61719454100239,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,25,91.0,prideful,OBAMA,2,OBAMA,91.01288724999176,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,26,96.8,clean,SELF,1,SELF,96.81792500001029,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
,,27,99.8,wise,OBAMA,1,OBAMA,99.80386437498964,None,None,None,PRACTICE,wordlist_runprac.csv,0,Repeat_Baseline,prac,
