thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,answer,setting,words_file,subID,sessionID,runID,
,,1,0.0,stern,SELF,2,SELF,0.019820500005153008,1.5970686249929713,1.5772481249878183,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,2,2.8,direct,UPPERCASE,2,LOWER,2.8058061250048922,4.496797665997292,1.6909915409923997,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,3,6.5,angry,UPPERCASE,3,LOWER,6.512093708006432,7.546953833007137,1.034860125000705,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,4,10.2,cheerful,OBAMA,1,OBAMA,10.217414915998233,11.044936833000975,0.8275219170027412,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,5,15.5,foolish,SELF,3,SELF,15.515057790995343,16.442978541002958,0.9279207500076154,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,6,17.9,refined,UPPERCASE,1,UPPER,17.912951624995912,19.498468833000516,1.5855172080046032,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,7,20.6,candid,UPPERCASE,2,UPPER,20.604529000003822,22.282575000004726,1.6780460000009043,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,8,22.7,loyal,UPPERCASE,1,LOWER,22.705043915993883,23.593885958005558,0.8888420420116745,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,9,26.8,blunt,UPPERCASE,2,LOWER,26.816166082993732,27.528504290996352,0.7123382080026204,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,10,30.4,tactful,SELF,1,SELF,30.413491832994623,31.186298125001485,0.7728062920068623,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,11,34.0,loud-mouthed,OBAMA,3,OBAMA,34.01369520800654,35.16021520800132,1.14651999999478,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,12,40.1,smug,UPPERCASE,3,UPPER,40.116537875001086,41.082278083005804,0.9657402080047177,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,13,44.6,nice,SELF,1,SELF,44.615285541003686,45.971158165993984,1.3558726249902975,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,14,48.0,careless,SELF,3,SELF,48.013338000004296,49.03585804099566,1.0225200409913668,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,15,50.3,tough,OBAMA,2,OBAMA,50.31195604099776,51.83771424999577,1.5257582089980133,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,16,55.1,noisy,UPPERCASE,3,UPPER,55.114884124996024,56.1840422910027,1.0691581660066731,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,17,58.6,good,UPPERCASE,1,LOWER,58.61612708300527,None,None,None,,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,18,65.2,clean,SELF,1,SELF,65.21812554099597,66.15016745800676,0.9320419170107925,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,19,67.6,quick,OBAMA,2,OBAMA,67.61245704100293,68.28391920799913,0.6714621669962071,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,20,70.3,lucky,SELF,2,SELF,70.31201991600392,71.23452062500292,0.9225007089989958,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,21,73.8,weak,OBAMA,3,OBAMA,73.81678354099859,74.97521999999299,1.1584364589944016,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,22,77.0,spiteful,OBAMA,3,OBAMA,77.01197399999364,78.17844320800214,1.1664692080084933,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,23,80.4,wise,OBAMA,1,OBAMA,80.41398379100428,81.25076129099762,0.8367774999933317,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,24,86.6,subtle,SELF,2,SELF,86.61752512499515,87.49056108300283,0.8730359580076765,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,25,91.0,prideful,OBAMA,2,OBAMA,91.01416354099638,92.16143945799558,1.147275916999206,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,26,96.8,cruel,SELF,3,SELF,96.8157562080014,97.62256995799544,0.8068137499940349,k,no,PRACTICE,wordlist_runprac.csv,0,T6,prac,
,,27,99.8,gentle,OBAMA,1,OBAMA,99.8141367079952,100.66224804100057,0.8481113330053631,j,yes,PRACTICE,wordlist_runprac.csv,0,T6,prac,
