thisRow.t	notes	trial_no	onset_time	words	condition_name	valence	judgement	accurate_onsetTime	reaction_time	rt	responses	answer	setting	words_file	subID	sessionID	runID	
		1	0	trusting	SELF	2	SELF	0.026760500040836632	1.115266541019082	1.0885060409782454	f	yes	PRACTICE	wordlist_run1.csv	0	baseline	1	
		2	4	self-controlled	OBAMA	1	OBAMA	4.019884583016392	5.398483791039325	1.3785992080229335	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1	
		3	8	unconventional	OBAMA	2	OBAMA	8.02047487499658	8.11423254100373	0.09375766600714996	f	yes	PRACTICE	wordlist_run1.csv	0	baseline	1	
		4	12	nice	OBAMA	1	OBAMA	12.028177291038446	13.485915875004139	1.4577385839656927	f	yes	PRACTICE	wordlist_run1.csv	0	baseline	1	
		5	16	quick	SELF	1	SELF	16.020964916038793	17.060930375009775	1.0399654589709826	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1	
		6	20	unwise	SELF	1	SELF	20.01736683305353	20.557802250026725	0.540435416973196	f	yes	PRACTICE	wordlist_run1.csv	0	baseline	1	
		7	24	quick-witted	SELF	2	SELF	24.018114250036888	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		8	28	noisy	OBAMA	2	OBAMA	28.016683291003574	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		9	32	scornful	UPPERCASE	2	UPPER	32.01646687503671	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		10	36	good-natured	OBAMA	3	OBAMA	36.01598650001688	37.75117508304538	1.7351885830285028	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1	
		11	40	hot-headed	SELF	3	SELF	40.01780308299931	40.37577833305113	0.3579752500518225	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1	
		12	44	underhanded	UPPERCASE	2	UPPER	44.02604608301772	44.121012290997896	0.0949662079801783	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1	
		13	48	extravagant	OBAMA	3	OBAMA	48.04550412500976	48.93454175000079	0.8890376249910332	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1	
		14	52	happy	SELF	1	SELF	52.029890791047364	52.178373208036646	0.14848241698928177	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1	
		15	56	compulsive	UPPERCASE	2	LOWER	56.0444089579978	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		16	60	overcritical	SELF	1	SELF	60.01804066600744	60.661976291041356	0.6439356250339188	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1	
		17	64	well-read	SELF	1	SELF	64.0228278330178	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		18	68	self-conceited	UPPERCASE	2	UPPER	68.01556258305209	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		19	72	careless	SELF	2	SELF	72.01759645802667	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		20	76	good-natured	UPPERCASE	3	UPPER	76.01591616601218	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
