thisRow.t	notes	trial_no	onset_time	words	condition_name	valence	judgement	accurate_onsetTime	reaction_time	rt	responses	answer	setting	words_file	subID	sessionID	runID
		1	0	sloppy	SELF	2	SELF	0.037601459	1.145393417	1.107791958	space		PRACTICE	wordlist_run1.csv	0	baseline	1
		2	4	unenterprising	OBAMA	1	OBAMA	4.018683417	4.454729167	0.43604575	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1
		3	8	argumentative	OBAMA	2	OBAMA	8.017533709	8.430331417	0.412797708	f	yes	PRACTICE	wordlist_run1.csv	0	baseline	1
		4	12	unethical	OBAMA	1	OBAMA	12.01632188	12.42030917	0.403987292	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1
		5	16	snobbish	SELF	1	SELF	16.01722917	16.42002138	0.402792208	f	yes	PRACTICE	wordlist_run1.csv	0	baseline	1
		6	20	superficial	SELF	1	SELF	20.01711638	20.35710979	0.339993417	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1
		7	24	studious	SELF	2	SELF	24.01723792	24.40641692	0.389179	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1
		8	28	profane	OBAMA	2	OBAMA	28.0174505	28.36104021	0.343589709	f	yes	PRACTICE	wordlist_run1.csv	0	baseline	1
		9	32	scornful	UPPERCASE	2	UPPER	32.01635033	32.35888246	0.342532125	j	no	PRACTICE	wordlist_run1.csv	0	baseline	1
		10	36	trustful	OBAMA	3	OBAMA	36.01654254	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		11	40	unattentive	SELF	3	SELF	40.01683567	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		12	44	forgetful	UPPERCASE	2	UPPER	44.01723771	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		13	48	good-natured	OBAMA	3	OBAMA	48.01756417	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		14	52	dominating	SELF	1	SELF	52.01648954	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		15	56	self-disciplined	UPPERCASE	2	UPPER	56.01758471	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		16	60	self-centered	SELF	1	SELF	60.01705258	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		17	64	unwise	SELF	1	SELF	64.01563975	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		18	68	extravagant	UPPERCASE	2	LOWER	68.01725975	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		19	72	trusting	SELF	2	SELF	72.017272	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		20	76	logical	UPPERCASE	3	LOWER	76.01632529	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		21	80	witty	UPPERCASE	2	UPPER	80.01621854	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		22	84	prudent	OBAMA	2	OBAMA	84.01632246	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		23	88	profane	SELF	3	SELF	88.0157125	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		24	92	solemn	UPPERCASE	2	LOWER	92.01630954	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		25	96	self-conceited	UPPERCASE	2	UPPER	96.01530238	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
		26	100	sincere	UPPERCASE	2	LOWER	100.0156625	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1
