thisRow.t,notes,trial_no,onset_time,words,condition_name,valence,judgement,accurate_onsetTime,reaction_time,rt,responses,answer,setting,words_file,subID,sessionID,runID,
,,1,0.0,candid,SELF,2,SELF,0.02069050000864081,1.3295453330065357,1.3088548329978948,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,2,2.8,quick,UPPERCASE,2,LOWER,2.810485583002446,4.171098999999231,1.3606134169967845,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,3,6.5,loud-mouthed,UPPERCASE,3,UPPER,6.510658458006219,7.292868750009802,0.7822102920035832,j,yes,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,4,10.2,tactful,OBAMA,1,OBAMA,10.214169750004658,12.165879625012167,1.9517098750075093,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,5,15.5,noisy,SELF,3,SELF,15.51223104201199,16.942382167006144,1.430151124994154,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,6,17.9,cheerful,UPPERCASE,1,LOWER,17.903615083007026,19.42390345800959,1.5202883750025649,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,7,20.6,prideful,UPPERCASE,2,UPPER,20.60231170800398,21.36620208300883,0.7638903750048485,j,yes,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,8,22.7,wise,UPPERCASE,1,UPPER,22.7120884580072,23.589565833011875,0.8774773750046734,j,yes,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,9,26.8,tough,UPPERCASE,2,LOWER,26.814691250008764,27.762192000009236,0.9475007500004722,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,10,30.4,angry,SELF,3,SELF,30.415804417003528,31.55887704199995,1.143072624996421,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,11,34.0,stern,OBAMA,2,OBAMA,34.01398691700888,35.252058750003926,1.2380718329950469,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,12,40.1,weak,UPPERCASE,3,UPPER,40.12157520800247,40.84824591700453,0.7266707090020645,j,yes,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,13,44.6,blunt,SELF,2,SELF,44.61542670801282,45.48760162500548,0.8721749169926625,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,14,48.0,refined,SELF,1,SELF,48.01335537500563,49.33431175000442,1.3209563749987865,j,yes,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,15,50.3,lucky,OBAMA,2,OBAMA,50.303500542009715,51.26505225000437,0.9615517079946585,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,16,55.1,spiteful,UPPERCASE,3,LOWER,55.11551062500803,56.567154208009015,1.4516435830009868,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,17,58.6,gentle,UPPERCASE,1,LOWER,58.61428487500234,59.33700350001163,0.7227186250092927,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,18,71.2,smug,SELF,3,SELF,71.21520408301149,72.08152508300554,0.8663209999940591,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,19,81.6,subtle,OBAMA,2,OBAMA,81.6179968330107,82.30255783301254,0.6845610000018496,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,20,84.3,direct,SELF,2,SELF,84.31289800000377,85.06665329200041,0.7537552919966402,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,21,87.8,careless,OBAMA,3,OBAMA,87.811841792005,89.11237529201026,1.3005335000052582,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,22,91.0,nice,OBAMA,1,OBAMA,91.02982629201142,92.5064521250024,1.476625832990976,j,yes,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,23,116.4,clean,OBAMA,1,OBAMA,116.41676795799867,117.33840062501258,0.9216326670139097,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,24,128.6,loyal,SELF,1,SELF,128.6159995420021,129.4730605000077,0.8570609580056043,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,25,131.0,cruel,OBAMA,3,OBAMA,131.0106411670131,131.96006320801098,0.949422040997888,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,26,136.8,good,SELF,1,SELF,136.81319549999898,137.97082450000744,1.1576290000084555,j,yes,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
,,27,139.8,foolish,OBAMA,3,OBAMA,139.81226450001122,140.89440079200722,1.0821362919959938,k,no,PRACTICE,wordlist_runprac.csv,99,Repeat_Baseline,prac,
