trial_no,condition,onset_time
1,1,0
2,3,3.2
3,2,5.2
4,1,10
5,1,16.2
6,3,22.1
7,3,26.9
8,1,31.3
9,1,34.3
10,2,36.3
11,2,39.4
12,2,41.5
13,2,44.8
14,1,51.8
15,1,53.8
16,2,56.1
17,1,62.6
18,1,66.6
19,1,68.7
20,1,71.3
21,2,75.3
22,1,77.9
23,3,82.9
24,2,89
25,1,93.1
26,3,95.6
27,1,99
28,1,103
29,3,105.3
30,2,108.6
31,2,113.1
32,1,116.6
33,1,120.3
34,3,125.5
35,3,131.6
36,2,135.4
37,1,137.8
38,3,140.5
39,3,145.7
40,2,149.4
41,2,153.2
42,1,157.9
43,1,162.1
44,2,167.3
45,2,169.6
46,1,173.6
47,2,175.6
48,3,179.9
49,2,181.9
50,3,183.9
51,2,189.8
52,1,192.1
53,3,198.4
54,3,205
55,3,207.7
56,3,213.8
57,3,215.8
58,3,220.5
59,3,223.1
60,2,228.7
61,2,231
62,3,233.3
63,2,236.4
64,2,242.4
65,2,245.1
66,3,247.3
67,3,250.5
68,1,256.4
69,3,261.1
70,1,268.1
71,1,274.2
72,1,276.7
73,1,278.7
74,2,280.7
75,3,285.9
76,3,291.3
77,3,293.3
78,3,295.6
79,2,301.8
80,2,304.1
81,2,309.9
