words,valence,condition_design
frank,1,1
bright,1,1
brilliant,1,1
tender,1,1
cultured,1,1
pleasant,1,1
friendly,1,1
vigorous,1,1
well-mannered,1,1
consistent,1,1
practical,1,1
likable,1,1
amusing,1,1
self-assured,1,1
understanding,1,1
optimistic,1,1
agreeable,1,1
silly,2,1
choosy,2,1
forceful,2,1
fearful,2,1
naive,2,1
submissive,2,1
old-fashioned,2,1
indifferent,2,1
daydreamer,2,1
worrying,2,1
convincing,2,1
methodical,2,1
preoccupied,2,1
meditative,2,1
nonconforming,2,1
unconventional,2,1
idealistic,2,1
dull,3,1
jumpy,3,1
messy,3,1
lifeless,3,1
unwise,3,1
greedy,3,1
suspicious,3,1
self-centered,3,1
neurotic,3,1
frustrated,3,1
conceited,3,1
inefficient,3,1
pessimistic,3,1
dominating,3,1
inattentive,3,1
uninspiring,3,1
ultra-critical,3,1
skilled,1,2
poised,1,2
skillful,1,2
sincere,1,2
precise,1,2
thoughtful,1,2
able,1,2
warm-hearted,1,2
studious,1,2
good-natured,1,2
courageous,1,2
generous,1,2
well-spoken,1,2
ambitious,1,2
self-disciplined,1,2
respectable,1,2
energetic,1,2
timid,2,2
clumsy,2,2
anxious,2,2
reserved,2,2
normal,2,2
skeptical,2,2
dependent,2,2
demanding,2,2
impulsive,2,2
critical,2,2
definite,2,2
excitable,2,2
mediocre,2,2
temperamental,2,2
sentimental,2,2
unmethodical,2,2
sophisticated,2,2
vain,3,2
tactless,3,2
depressed,3,2
thoughtless,3,2
touchy,3,2
vulgar,3,2
gossipy,3,2
humorless,3,2
impolite,3,2
complaining,3,2
quarrelsome,3,2
narrow-minded,3,2
inaccurate,3,2
unethical,3,2
inconsistent,3,2
noninquisitive,3,2
unappreciative,3,2
calm,1,3
kind,1,3
patient,1,3
decent,1,3
mature,1,3
modest,1,3
tidy,1,3
resourceful,1,3
perceptive,1,3
sensible,1,3
progressive,1,3
sociable,1,3
artistic,1,3
tolerant,1,3
sympathetic,1,3
self-sufficient,1,3
conscientious,1,3
crafty,2,3
unpoised,2,3
passive,2,3
troubled,2,3
high-strung,2,3
self-conscious,2,3
frivolous,2,3
excited,2,3
self-concerned,2,3
sensitive,2,3
forgetful,2,3
unpopular,2,3
unromantic,2,3
self-satisfied,2,3
satirical,2,3
unentertaining,2,3
unadventurous,2,3
cold,3,3
unfair,3,3
boastful,3,3
reckless,3,3
sloppy,3,3
aimless,3,3
hot-tempered,3,3
troublesome,3,3
possessive,3,3
abusive,3,3
cynical,3,3
illogical,3,3
unattentive,3,3
antisocial,3,3
unproductive,3,3
unsympathetic,3,3
dishonorable,3,3
