words,valence,condition_design
nice,1,1
clean,1,1
tactful,1,1
alert,1,1
relaxed,1,1
honest,1,1
eager,1,1
romantic,1,1
trustworthy,1,1
confident,1,1
humorous,1,1
constructive,1,1
unselfish,1,1
diligent,1,1
honorable,1,1
entertaining,1,1
literary,1,1
lucky,2,1
subtle,2,1
forward,2,1
lonely,2,1
righteous,2,1
unlucky,2,1
talkative,2,1
religious,2,1
aggressive,2,1
persuasive,2,1
disciplined,2,1
nonconfident,2,1
melancholy,2,1
obedient,2,1
self-critical,2,1
inexperienced,2,1
unoriginal,2,1
cruel,3,1
careless,3,1
foolish,3,1
petty,3,1
bossy,3,1
scornful,3,1
meddlesome,3,1
untruthful,3,1
unpleasing,3,1
malicious,3,1
short-tempered,3,1
intolerant,3,1
superficial,3,1
irritating,3,1
belligerent,3,1
egotistical,3,1
unreliable,3,1
wise,1,2
cheerful,1,2
gentle,1,2
witty,1,2
happy,1,2
trusting,1,2
realistic,1,2
attentive,1,2
self-controlled,1,2
productive,1,2
capable,1,2
ethical,1,2
respectful,1,2
sharp-witted,1,2
considerate,1,2
reliable,1,2
versatile,1,2
tough,2,2
prideful,2,2
careful,2,2
daring,2,2
lonesome,2,2
withdrawing,2,2
hesitant,2,2
compulsive,2,2
serious,2,2
eccentric,2,2
unstudious,2,2
overcautious,2,2
meticulous,2,2
inhibited,2,2
conservative,2,2
unemotional,2,2
argumentative,2,2
weak,3,2
spiteful,3,2
loud-mouthed,3,2
scolding,3,2
unkind,3,2
jealous,3,2
gloomy,3,2
unfriendly,3,2
untidy,3,2
offensive,3,2
hot-headed,3,2
childish,3,2
incompetent,3,2
unappealing,3,2
disrespectful,3,2
uncompromising,3,2
overcritical,3,2
refined,1,3
loyal,1,3
gracious,1,3
hopeful,1,3
earnest,1,3
purposeful,1,3
ingenious,1,3
sportsmanlike,1,3
curious,1,3
quick-witted,1,3
clear-headed,1,3
outstanding,1,3
decisive,1,3
easygoing,1,3
level-headed,1,3
admirable,1,3
dependable,1,3
blunt,2,3
direct,2,3
candid,2,3
restless,2,3
social,2,3
fearless,2,3
orderly,2,3
uncultured,2,3
conformist,2,3
moderate,2,3
unhealthy,2,3
indecisive,2,3
unobservant,2,3
systematic,2,3
dissatisfied,2,3
unpredictable,2,3
philosophical,2,3
smug,3,3
noisy,3,3
angry,3,3
shallow,3,3
grouchy,3,3
liar,3,3
showy,3,3
insincere,3,3
immature,3,3
unsocial,3,3
annoying,3,3
negligent,3,3
superstitious,3,3
discourteous,3,3
irrational,3,3
unagreeable,3,3
overconfident,3,3
